id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
1,T001,Critical,Open,Hardware,Laptop not starting,User unable to boot device,2024-01-05,,Alice,2024-01-05 09:00:00
2,T002,High,In Progress,Software,VPN connection failure,Cannot connect to VPN from home,2024-01-10,,Bob,2024-01-10 10:15:00
3,T003,Medium,Resolved,Network,Email not syncing,Emails not appearing in inbox,2024-01-15,2024-01-16,Charlie,2024-01-15 11:30:00
4,T004,Low,Closed,Hardware,Printer not responding,Printer gives error code E13,2024-01-20,2024-01-22,David,2024-01-20 12:45:00
5,T005,Critical,Open,Software,Software installation request,Need latest software version installed,2024-01-25,,Eve,2024-01-25 09:20:00
6,T006,High,In Progress,Network,Server downtime,Server unreachable since 2 AM,2024-01-28,,Alice,2024-01-28 10:40:00
7,T007,Medium,Open,Hardware,Monitor flickering,Screen flickers intermittently,2024-02-01,,Bob,2024-02-01 09:05:00
8,T008,Low,Resolved,Software,Email client update,Update email client to latest version,2024-02-03,2024-02-04,Charlie,2024-02-03 11:15:00
9,T009,Critical,Open,Network,Internet outage,Entire office cannot access internet,2024-02-05,,David,2024-02-05 08:45:00
10,T010,High,In Progress,Hardware,Laptop battery failure,Battery not charging,2024-02-07,,Eve,2024-02-07 09:50:00
11,T011,Medium,Resolved,Software,Antivirus false positives,Multiple files flagged incorrectly,2024-02-10,2024-02-11,Alice,2024-02-10 10:25:00
12,T012,Low,Closed,Network,Wi-Fi disconnects,Wi-Fi keeps dropping connection,2024-02-12,2024-02-14,Bob,2024-02-12 13:10:00
13,T013,Critical,Open,Hardware,Laptop keyboard malfunction,Keys not responding,2024-02-15,,Charlie,2024-02-15 09:40:00
14,T014,High,In Progress,Software,Database backup failure,Automated backup failed last night,2024-02-18,,David,2024-02-18 10:30:00
15,T015,Medium,Resolved,Network,Firewall rules update required,Need new rules for remote access,2024-02-20,2024-02-21,Eve,2024-02-20 11:00:00
16,T016,Low,Closed,Hardware,Mouse not working,Mouse unresponsive,2024-02-22,2024-02-23,Alice,2024-02-22 09:15:00
17,T017,Critical,Open,Software,Server crash,Main application server down,2024-02-25,,Bob,2024-02-25 08:50:00
18,T018,High,In Progress,Network,VPN access blocked,User cannot access VPN,2024-02-28,,Charlie,2024-02-28 10:05:00
19,T019,Medium,Resolved,Hardware,Monitor dead pixels,Several dead pixels on screen,2024-03-01,2024-03-02,David,2024-03-01 09:20:00
20,T020,Low,Closed,Software,Update email signature,Change default email signature,2024-03-03,2024-03-04,Eve,2024-03-03 11:00:00
21,T021,Critical,Open,Network,Network latency,High latency across office network,2024-03-05,,Alice,2024-03-05 09:30:00
22,T022,High,In Progress,Hardware,Laptop overheating,Laptop heats up quickly,2024-03-07,,Bob,2024-03-07 10:40:00
23,T023,Medium,Resolved,Software,CRM login issues,Users cannot log in to CRM,2024-03-10,2024-03-11,Charlie,2024-03-10 11:50:00
24,T024,Low,Closed,Network,Printer queue jam,Jobs stuck in queue,2024-03-12,2024-03-13,David,2024-03-12 12:30:00
25,T025,Critical,Open,Hardware,Server power failure,Server shut down unexpectedly,2024-03-15,,Eve,2024-03-15 09:10:00
26,T026,High,In Progress,Software,Email spam issues,Many spam emails not filtered,2024-03-17,,Alice,2024-03-17 10:20:00
27,T027,Medium,Resolved,Network,Wi-Fi coverage gap,Some areas no Wi-Fi coverage,2024-03-20,2024-03-21,Bob,2024-03-20 11:15:00
28,T028,Low,Closed,Hardware,Keyboard replacement,Replace worn-out keyboard,2024-03-22,2024-03-23,Charlie,2024-03-22 09:45:00
29,T029,Critical,Open,Software,Database connection failure,App cannot connect to DB,2024-03-25,,David,2024-03-25 08:55:00
30,T030,High,In Progress,Network,Firewall misconfiguration,Rules causing blockages,2024-03-27,,Eve,2024-03-27 10:30:00
31,T031,Medium,Resolved,Hardware,Laptop screen flicker,Screen flickers randomly,2024-03-30,2024-03-31,Alice,2024-03-30 09:50:00
32,T032,Low,Closed,Software,Update antivirus,Update to latest virus definitions,2024-04-01,2024-04-02,Bob,2024-04-01 11:00:00
33,T033,Critical,Open,Network,Network outage,Office network completely down,2024-04-03,,Charlie,2024-04-03 08:45:00
34,T034,High,In Progress,Hardware,Laptop hinge broken,Hinge damaged on device,2024-04-05,,David,2024-04-05 09:20:00
35,T035,Medium,Resolved,Software,Application crashes frequently,App crashes when loading,2024-04-08,2024-04-09,Eve,2024-04-08 10:15:00
36,T036,Low,Closed,Network,Printer offline,Printer not reachable,2024-04-10,2024-04-11,Alice,2024-04-10 12:00:00
37,T037,Critical,Open,Hardware,Laptop HDD failure,Hard drive failed,2024-04-12,,Bob,2024-04-12 09:25:00
38,T038,High,In Progress,Software,Email server delay,Emails delayed for hours,2024-04-15,,Charlie,2024-04-15 10:35:00
39,T039,Medium,Resolved,Network,Switch port down,Port inactive,2024-04-18,2024-04-19,David,2024-04-18 11:45:00
40,T040,Low,Closed,Hardware,Mouse scroll issue,Scroll not working properly,2024-04-20,2024-04-21,Eve,2024-04-20 09:55:00
41,T041,Critical,Open,Software,Backup failure,Daily backup did not complete,2024-04-22,,Alice,2024-04-22 08:50:00
42,T042,High,In Progress,Network,DNS resolution failure,Internal DNS not resolving names,2024-04-25,,Bob,2024-04-25 10:15:00
43,T043,Medium,Resolved,Hardware,Laptop trackpad issue,Trackpad unresponsive,2024-04-28,2024-04-29,Charlie,2024-04-28 11:20:00
44,T044,Low,Closed,Software,Install browser plugin,Required plugin for internal app,2024-04-30,2024-05-01,David,2024-04-30 09:30:00
45,T045,Critical,Open,Network,Internet outage,Entire floor network down,2024-05-02,,Eve,2024-05-02 08:40:00
46,T046,High,In Progress,Hardware,Laptop webcam failure,Webcam not working,2024-05-05,,Alice,2024-05-05 09:50:00
47,T047,Medium,Resolved,Software,Email signature issue,Emails missing signatures,2024-05-08,2024-05-09,Bob,2024-05-08 10:30:00
48,T048,Low,Closed,Network,Router config backup,Backup completed successfully,2024-05-10,2024-05-11,Charlie,2024-05-10 11:15:00
49,T049,Critical,Open,Hardware,Laptop screen cracked,Screen physically damaged,2024-05-12,,David,2024-05-12 09:20:00
50,T050,High,In Progress,Software,Database sync issues,Data not syncing between DBs,2024-05-15,,Eve,2024-05-15 10:40:00
51,T051,Medium,Resolved,Network,VPN certificate expired,Renewed VPN certificate,2024-05-18,2024-05-19,Alice,2024-05-18 09:35:00
52,T052,Low,Closed,Hardware,Laptop fan noise,Loud fan noise,2024-05-20,2024-05-21,Bob,2024-05-20 10:10:00
53,T053,Critical,Open,Software,Application login failure,App login broken for multiple users,2024-05-22,,Charlie,2024-05-22 08:55:00
54,T054,High,In Progress,Network,Firewall outage,Firewall temporarily offline,2024-05-25,,David,2024-05-25 09:45:00
55,T055,Medium,Resolved,Hardware,Monitor stand broken,Stand unstable for monitor,2024-05-28,2024-05-29,Eve,2024-05-28 09:50:00
